npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_city,nppes_provider_state,specialty_description,description_flag,drug_name,generic_name,bene_count,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost,bene_count_ge65,bene_count_ge65_suppress_flag,total_claim_count_ge65,ge65_suppress_flag,total_30_day_fill_count_ge65,total_day_supply_ge65,total_drug_cost_ge65,years_of_exp
2006000252,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,PREDNISONE,PREDNISONE,17,20,20,121,59.96,,#,,#,,,,52
2006000252,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,WARFARIN SODIUM,WARFARIN SODIUM,,12,12,236,197.69,,*,12,,12,236,197.69,36
2006000252,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,XARELTO,RIVAROXABAN,12,34,34,943,12110.2,,#,,#,,,,52
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,17,51,51,1398,577.96,,#,37,,37,978,437.25,42
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,,29,29,870,254.2,0,,0,,0,0,0,41
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,BACLOFEN,BACLOFEN,43,104,112,3194,2106.97,17,,31,,31,890,484.56,40
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,BUTRANS,BUPRENORPHINE,19,63,63,1764,24514.23,,#,41,,41,1150,16188.72,33
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,,11,11,300,31.88,,*,,*,,,,31
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,DICLOFENAC SODIUM,DICLOFENAC SODIUM,13,15,19,541,1859.76,,#,,#,,,,49
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,DULOXETINE HCL,DULOXETINE HCL,,33,33,990,1049.22,,*,12,,12,360,342.51,49
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,FENTANYL,FENTANYL,14,77,77.2,2274,6920.58,,*,11,,11.1,332,809.67,40
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,GABAPENTIN,GABAPENTIN,69,264,290.3,8585,3796.94,32,,112,,124.3,3690,1352.54,54
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,62,358,359.5,10092,8378.69,35,,204,,204.5,5559,5270.87,42
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,LIDOCAINE-PRILOCAINE,LIDOCAINE/PRILOCAINE,,11,11,330,1711.19,,*,,*,,,,36
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,LYRICA,PREGABALIN,23,106,106,3089,49748.43,,#,40,,40,1141,16482.44,31
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,MELOXICAM,MELOXICAM,,12,12,340,42.01,0,,0,,0,0,0,40
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,MORPHINE SULFATE ER,MORPHINE SULFATE,,26,26,765,742.9,,*,,*,,,,41
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,OXYCODONE HCL,OXYCODONE HCL,,11,11,315,157.86,,*,11,,11,315,157.86,52
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,37,241,245,7202,5040.36,17,,118,,119,3515,2492.86,40
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,OXYCONTIN,OXYCODONE HCL,,25,25,706,6249.48,,#,,#,,,,31
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TIZANIDINE HCL,TIZANIDINE HCL,11,30,36,1040,555.31,,*,,*,,,,39
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TOPIRAMATE,TOPIRAMATE,13,24,25,750,148.96,,*,,*,,,,32
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TRAMADOL HCL,TRAMADOL HCL,18,102,102,2945,1285.09,,#,64,,64,1880,1107.2,52
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TRAMADOL HCL-ACETAMINOPHEN,TRAMADOL HCL/ACETAMINOPHEN,,11,11,295,157.98,,*,,*,,,,48
,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,VOLTAREN,DICLOFENAC SODIUM,12,29,35.8,1025,5535.38,,*,14,,15.9,452,3036.62,54
2006000293,ESCOBAR,JULIO,DAYTON,NV,Dentist,T,AMOXICILLIN,AMOXICILLIN,19,,21,121,71.33,,#,,#,,,,43
2006000293,ESCOBAR,JULIO,DAYTON,NV,Dentist,T,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,,11,11,27,63.43,,*,,*,,,,40
2006000408,BLAKEMORE,ROSIE,NASHVILLE,TN,Nurse Practitioner,S,CALCITRIOL,CALCITRIOL,,12,12,217,129.17,,*,12,,12,217,129.17,32
2006000408,BLAKEMORE,ROSIE,NASHVILLE,TN,Nurse Practitioner,S,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,,14,18,399,198.87,,#,,#,,,,43
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,,14,14,420,5415.66,,*,14,,14,420,5415.66,42
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,15,34,34,922,134.54,15,,34,,34,922,134.54,30
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ATENOLOL,ATENOLOL,,18,18,540,91.64,,*,18,,18,540,91.64,52
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,11,57,57,1497,500.82,11,,57,,57,1497,500.82,45
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,AZITHROMYCIN,AZITHROMYCIN,29,30,30,172,313.56,,#,,#,,,,52
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,BENAZEPRIL HCL,BENAZEPRIL HCL,,27,27,803,122.2,,*,27,,27,803,122.2,38
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CARVEDILOL,CARVEDILOL,,15,15,327,57.12,,#,,#,,,,45
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CEPHALEXIN,CEPHALEXIN,15,16,16,96,56.6,,#,,#,,,,33
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,13,16,16,88,86.62,,#,,#,,,,52
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CITALOPRAM HBR,CITALOPRAM HYDROBROMIDE,,12,12,350,63.2,,*,12,,12,350,63.2,38
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CLONIDINE HCL,CLONIDINE HCL,,24,24,662,172.4,,*,24,,24,662,172.4,45
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CLOPIDOGREL,CLOPIDOGREL BISULFATE,12,45,45,1251,386.66,12,,45,,45,1251,386.66,48
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,DEXILANT,DEXLANSOPRAZOLE,,16,16,133,1120.72,,*,16,,16,133,1120.72,40
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,DIGOXIN,DIGOXIN,,22,22,151,173.3,,*,22,,22,151,173.3,43
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,DONEPEZIL HCL,DONEPEZIL HCL,,51,51,1364,500.4,,*,51,,51,1364,500.4,45
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ELIQUIS,APIXABAN,11,14,14.1,421,5079.98,,#,,#,,,,34
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,EXELON,RIVASTIGMINE,,11,11,330,5915.44,,*,11,,11,330,5915.44,32
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,FELODIPINE ER,FELODIPINE,,13,13,345,244.88,,*,13,,13,345,244.88,52
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,,12,12,360,105.6,,*,12,,12,360,105.6,44
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,FUROSEMIDE,FUROSEMIDE,21,85,85,2213,395.27,21,,85,,85,2213,395.27,51
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,GABAPENTIN,GABAPENTIN,,51,51,1376,611.13,,*,51,,51,1376,611.13,45
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,GLIPIZIDE,GLIPIZIDE,,12,12,313,119.75,,*,12,,12,313,119.75,52
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,HUMALOG,INSULIN LISPRO,,42,42,1101,10649.47,,*,42,,42,1101,10649.47,55
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,,12,12,307,51.08,,*,12,,12,307,51.08,47
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ISOSORBIDE MONONITRATE ER,ISOSORBIDE MONONITRATE,11,36,36,841,371.39,11,,36,,36,841,371.39,49
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,JANTOVEN,WARFARIN SODIUM,,21,21,146,88.63,,*,21,,21,146,88.63,50
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,JANUVIA,SITAGLIPTIN PHOSPHATE,,11,11,309,4219.57,,*,11,,11,309,4219.57,31
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LANTUS,"INSULIN GLARGINE,HUM.REC.ANLOG",,33,33,923,8079.03,,#,,#,,,,33
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LEVEMIR FLEXTOUCH,INSULIN DETEMIR,,12,12,244,3063,,*,12,,12,244,3063,42
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LEVOFLOXACIN,LEVOFLOXACIN,35,36,36,209,209.92,,#,,#,,,,48
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,18,155,155,2129,1334.46,,#,,#,,,,32
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LISINOPRIL,LISINOPRIL,,48,48,1207,270.31,,*,48,,48,1207,270.31,42
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LORAZEPAM,LORAZEPAM,,49,49,981,283.08,,*,49,,49,981,283.08,38
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LYRICA,PREGABALIN,,17,17,510,4491.75,,#,,#,,,,33
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,METFORMIN HCL,METFORMIN HCL,,27,27,793,178.52,,#,,#,,,,45
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,METOPROLOL TARTRATE,METOPROLOL TARTRATE,17,48,49,1239,271.69,,#,,#,,,,41
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,MONTELUKAST SODIUM,MONTELUKAST SODIUM,,17,17,426,195.26,,*,17,,17,426,195.26,37
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,NAMENDA XR,MEMANTINE HCL,,122,122,1210,15281.17,,*,122,,122,1210,15281.17,42
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,OLANZAPINE,OLANZAPINE,,16,16,407,162.69,,*,16,,16,407,162.69,54
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,OMEPRAZOLE,OMEPRAZOLE,,16,16,465,150.22,,*,16,,16,465,150.22,48
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,13,30,30,848,261.52,,#,,#,,,,41
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PENTOXIFYLLINE,PENTOXIFYLLINE,,14,14,393,240.73,,*,14,,14,393,240.73,31
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PERMETHRIN,PERMETHRIN,14,24,24,38,2486.85,14,,24,,24,38,2486.85,51
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,POLYETHYLENE GLYCOL 3350,POLYETHYLENE GLYCOL 3350,11,48,48,945,783.73,11,,48,,48,945,783.73,36
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,13,66,66,1741,1235.97,,#,,#,,,,37
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DI-HCL,,11,11,323,183.75,,*,11,,11,323,183.75,42
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PREDNISONE,PREDNISONE,53,60,60,622,268.25,,#,,#,,,,40
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,RISPERIDONE,RISPERIDONE,,35,35,909,252.17,,*,35,,35,909,252.17,47
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,SERTRALINE HCL,SERTRALINE HCL,,41,41.1,952,437.72,,*,41,,41.1,952,437.72,54
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,SIMVASTATIN,SIMVASTATIN,,14,14,382,132.67,,*,14,,14,382,132.67,48
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,TRADJENTA,LINAGLIPTIN,,13,13,390,4878.9,,*,13,,13,390,4878.9,45
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,TRAZODONE HCL,TRAZODONE HCL,,21,21,462,181.23,,*,21,,21,462,181.23,44
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,,19,19,61,247.85,,*,19,,19,61,247.85,40
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,XARELTO,RIVAROXABAN,,32,32,283,3811,,*,32,,32,283,3811,45
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,,12,12,262,832.04,,*,12,,12,262,832.04,40
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,IBUPROFEN,IBUPROFEN,,12,12,88,61.1,,*,,*,,,,49
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,MICROGESTIN FE,NORETHINDRONE-E.ESTRADIOL-IRON,,16,16,448,295.85,0,,0,,0,0,0,53
-1975016072,GOLDSTEIN,MARK,NEW YORK,NY,Emergency Medicine,S,KETOCONAZOLE,KETOCONAZOLE,,18,18,359,176.81,,*,,*,,,,46
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,PREMPRO,"ESTROGEN,CON/M-PROGEST ACET",,,12,336,1915.24,,*,,*,,,,44
2006000606,ROTHCHILD,KEVIN,AURORA,CO,General Surgery,S,CARAFATE,SUCRALFATE,,17,17,235,3286.74,,*,,*,,,,42
2086959747,MENDYKOWSKI,ALICE,KAILUA,HI,Nurse Practitioner,S,TRAMADOL HCL,TRAMADOL HCL,,23,24,652,278.63,,#,,#,,,,37
-1743755271,BARSEGYAN,ARSINE,GLENDALE,CA,Internal Medicine,S,MECLIZINE HCL,MECLIZINE HCL,70,519,521,15630,3837.86,,#,465,,467,14010,3531.4,38
-2137634793,BARNUM,MICHAEL,SAINT ALBANS,VT,Orthopedic Surgery,S,GABAPENTIN,GABAPENTIN,11,35,43,1288,235.7,,*,18,,18,538,98.96,38
-1490114270,ADAMS,JOHN,LONG BEACH,CA,Internal Medicine,S,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,19,80,91,2614,2069.18,,#,55,,59.7,1708,1050.52,40
2117979698,GONZALEZ,JOSE,EL PASO,TX,Family Practice,S,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,,16,28,840,82.73,,#,,#,,,,32
-1783003014,CONSIDINE,GRETCHEN,SAUK CITY,WI,Physician Assistant,S,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,22,89,239,7170,611.59,,#,,#,,,,49
2117304634,ROJAS,FIOR,ALTAMONTE SPRINGS,FL,Family Practice,S,CEPHALEXIN,CEPHALEXIN,,11,11,99,57.11,,*,,*,,,,51
2066458712,WADE,TRACY,HEFLIN,AL,Nurse Practitioner,S,GLYBURIDE,GLYBURIDE,11,40,71.7,2122,885.52,,*,,*,,,,34
-1662959550,STEPHENS,LEONA,JEFFERSONVILLE,IN,Family Practice,S,FUROSEMIDE,FUROSEMIDE,18,64,93.5,2745,376.74,,*,17,,38.5,1095,126.63,40
-1389035056,BROWN,RICHARD,HAMILTON,OH,Psychiatry & Neurology,T,FLUOXETINE HCL,FLUOXETINE HCL,,74,76.5,2076,811.03,,*,12,,12.2,366,114.31,51
-1935635169,FOSSO,CAROL,INDIANAPOLIS,IN,Allergy/ Immunology,S,AMOXICILLIN-CLAVULANATE POTASS,AMOXICILLIN/POTASSIUM CLAV,29,37,37,681,857.5,,#,,#,,,,38
2117355767,ERWIN,TERRY,MINERAL WELLS,TX,Nurse Practitioner,S,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,,18,18,320,441,,#,,#,,,,43
-1389084538,VOLOW,MICHAEL,RALEIGH,NC,Psychiatry,S,DIVALPROEX SODIUM,DIVALPROEX SODIUM,,43,43,1290,1099.12,,*,,*,,,,47
-1592244434,MATATOV,VALERIY,BROOKLYN,NY,Internal Medicine,S,PREDNISONE,PREDNISONE,35,80,84,1485,391.16,,#,64,,68,1127,326.27,46
-1996259427,ANQUE,VICENTA,BRAWLEY,CA,Registered Nurse,T,ALPRAZOLAM,ALPRAZOLAM,,13,13,225,63.99,,#,,#,,,,51
-1369936297,STEIN,KENNETH,PHILADELPHIA,PA,Podiatry,S,AZITHROMYCIN,AZITHROMYCIN,,12,12,60,92.49,,*,,*,,,,39
2147383864,DAUGHERTY,PAUL,HENDERSONVILLE,TN,Internal Medicine,S,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,20,86,192,5760,2393.61,20,,86,,192,5760,2393.61,38
2076548585,SHAFFER,WILLIAM,BLOOMINGTON,MN,Internal Medicine,S,AZITHROMYCIN,AZITHROMYCIN,14,17,17,85,100.96,,#,,#,,,,42
-1592195701,MCFARLAND,ROBERT,COEUR D ALENE,ID,Family Practice,S,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,21,80,166.5,4995,2993.82,,#,,#,,,,50
-1571881919,HALL,BRUCE,VISALIA,CA,Internal Medicine,S,ANDROGEL,TESTOSTERONE,,25,25,750,16930.05,,*,25,,25,750,16930.05,33
-2016022185,CHARLES,LORRAINE,TYLER,TX,Family Practice,S,PROAIR HFA,ALBUTEROL SULFATE,,14,16,441,861.53,,#,,#,,,,52
-1622444575,YAGER,SCOTT,EAST BRUNSWICK,NJ,Internal Medicine,S,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,21,79,203,6090,2337.89,,#,66,,174,5220,2120.24,42
-2086001557,FOLKS,NEILENE,CRAIG,CO,Physician Assistant,S,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,,21,29,870,9932.91,,#,,#,,,,47
-1854810403,MORROZOFF,WILLIAM,PARKTON,NC,Nurse Practitioner,S,TEMAZEPAM,TEMAZEPAM,15,23,27,810,321.25,,#,,#,,,,34
-1369848442,ALEJANDRO,ANGEL,MIAMI,FL,Internal Medicine,T,REPAGLINIDE,REPAGLINIDE,,20,36,1080,829.97,,#,,#,,,,35
2127064864,JORDAN,HARRY,SUMTER,SC,Internal Medicine,S,MEPERIDINE HCL,MEPERIDINE HCL,,16,16,480,529.65,0,,0,,0,0,0,44
-1975024033,TEODORI,KRISTINE,CROWN POINT,IN,Internal Medicine,S,ALENDRONATE SODIUM,ALENDRONATE SODIUM,22,119,154.8,4402,1210.15,,#,,#,,,,48
-1905232548,SKUGOR,MARIO,CLEVELAND,OH,Endocrinology,S,METHIMAZOLE,METHIMAZOLE,,17,29,870,210.37,,#,,#,,,,32
-1905331640,MILACEK,JAMES,PHOENIX,AZ,Registered Nurse,T,LORAZEPAM,LORAZEPAM,,26,26,780,97.52,,#,,#,,,,38
2006236038,BATHINI,SYDULU,COLUMBUS,OH,Hospitalist,T,FUROSEMIDE,FUROSEMIDE,,20,26,780,63.98,,#,,#,,,,50
-1299217677,MCCLENDON,EDWARD,HOUSTON,TX,Family Practice,S,GEMFIBROZIL,GEMFIBROZIL,,11,31,930,232.05,,*,11,,31,930,232.05,40
2006967210,KELLY,THOMAS,BURR RIDGE,IL,Neurology,S,TECFIDERA,DIMETHYL FUMARATE,,23,23,690,143635.61,0,,0,,0,0,0,44
-1854699431,SINGH,RAJENDRA,MASON CITY,IA,Emergency Medicine,S,FAMOTIDINE,FAMOTIDINE,11,11,11,278,49.03,,*,,*,,,,39
-2097176109,WARD,MARK,SPARTANBURG,SC,Family Practice,S,BUPROPION XL,BUPROPION HCL,,28,46,1380,967.55,,*,28,,46,1380,967.55,38
-1490069687,CHODOSH,THOMAS,CORPUS CHRISTI,TX,Family Practice,S,BETAMETHASONE DIPROPIONATE,BETAMETHASONE/PROPYLENE GLYC,11,17,17,277,983.11,,*,,*,,,,32
-1965904417,COHEN,ALAN,NEW YORK,NY,Infectious Disease,S,AZITHROMYCIN,AZITHROMYCIN,,15,15,163,184.45,,*,,*,,,,32
-1672819719,IRISH-PEARSON,MARGRETE,BATTLE CREEK,MI,Nurse Practitioner,S,CLONAZEPAM,CLONAZEPAM,,11,11,326,143.76,,*,,*,,,,48
-1783098937,JOHNSON,GARY,PITTSBURGH,PA,Family Practice,S,CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,20,20,20,199,270.92,,#,,#,,,,41
-1844741560,ROBERTSON,KAREN,GREENVILLE,SC,Nurse Practitioner,S,VALSARTAN,VALSARTAN,,21,27,810,416.6,,#,,#,,,,53
-1935467865,MAIZELS,MORRIS,EVERETT,WA,Family Practice,S,CLONAZEPAM,CLONAZEPAM,,24,24,690,219.68,,#,,#,,,,54
-1410289852,JACQMOTTE,NATHALIE,PORTLAND,OR,Family Practice,S,VENLAFAXINE HCL ER,VENLAFAXINE HCL,,30,50,1500,375.44,,*,12,,16,480,132.78,41
-1763909791,CHAFFIN,RONALD,AMARILLO,TX,Cardiovascular Disease (Cardiology),S,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,14,26,60,1800,166.37,14,,26,,60,1800,166.37,43
-1693104034,STEPHENS,ELLEN,BATH,NY,Nurse Practitioner,S,PALIPERIDONE ER,PALIPERIDONE,,13,13,390,9017.81,,#,,#,,,,32
2046266615,HASAN,AYESHA,COLUMBUS,OH,Cardiovascular Disease (Cardiology),S,HYDRALAZINE HCL,HYDRALAZINE HCL,23,99,160,4800,1711.98,,#,62,,108,3240,1271.92,37
2016242206,GIRSHA,LENSA,MISHAWAKA,IN,Nurse Practitioner,S,GLIPIZIDE,GLIPIZIDE,,11,27,810,81.38,,*,,*,,,,48
-1501044120,ALONSO,WILFREDO,AGUADILLA,PR,Internal Medicine,S,CLONIDINE HCL,CLONIDINE HCL,21,135,147,4390,1085.11,,#,109,,121,3610,924.01,44
-1490084867,WADE,ROBERT,MOUNDSVILLE,WV,Family Practice,S,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,22,133,179,5233,29852.66,,#,117,,163,4771,27339.37,41
-2086927298,MAHONEY,DAVID,MT PLEASANT,SC,Family Practice,S,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,,15,41,1230,176.38,,*,15,,41,1230,176.38,39
-1804311213,SRIVASTAVA,PANKAJ,DYERSBURG,TN,Internal Medicine,S,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,14,78,94.1,2190,1664.83,,*,51,,61,1212,943.49,32
-1824493997,CZYZEWSKI,EWA,LINDEN,NJ,Internal Medicine,S,SSD,SILVER SULFADIAZINE,,12,12,238,388.69,,*,12,,12,238,388.69,42
-1955843658,LORIO,JERRY,BENTON,AR,Orthopedic Surgery,S,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,139,239,239.3,1480,4071.66,91,,148,,148,855,2678.77,39
